,Inode (file unique ID),KB Allocated,File Size,Creation Time in days from today,Change Time in days from today,Modification time in days from today,Acces time in days from today,GID numeric ID for the group owner of the file,UID numeric ID for the owner of the file
0,100663296,0,8,1447,1447,3131,1447,2035,762231
1,100663297,0,188,1447,1447,1937,1447,2010,614955
2,100663301,0,567,1447,1447,3142,1447,2035,762231
3,100663304,0,87,1447,1447,3142,1447,2035,762231
4,100663306,0,1689,1447,1447,1937,1447,2010,614955
5,100663307,8192,11469504,1447,1447,2518,1447,2069,1000000092
6,100663309,64,74200,1447,1447,2186,1447,2392,831677
7,100663310,0,1105,1447,1447,3142,1447,2035,762231
8,100663313,256,553394,1447,1447,2106,1447,2170,753559
9,100663315,448,2006143,1447,1447,3142,1447,2035,762231
10,100663316,64,4176,1447,1447,1937,1447,2010,614955
11,100663320,64,3879,1447,1447,1632,1447,2023,881083
12,100663322,64,25961,1447,1093,2143,1050,2022,500120
13,100663323,0,1842,1447,1447,1632,1447,2023,881083
14,100663325,64,8249,1447,1447,1632,1447,2023,881083
15,100663329,64,4184,1447,1447,1937,1447,2010,614955
16,100663333,64,14749,1447,1447,1815,1447,2019,638741
17,100663335,192,374952,1447,1447,2186,1447,2392,831677
18,100663338,0,206,1447,1447,3142,1447,2035,762231
19,100663340,2240,6001928,1447,1447,1540,1447,2003,785573
20,100663341,64,25992,1447,1093,2143,1050,2022,500120
21,100663342,64,19158,1447,1447,1815,1447,2019,638741
22,100663343,64,96792,1447,1447,2186,1447,2392,831677
23,100663344,0,472,1447,1447,3131,1447,2035,762231
24,100663347,0,471,1447,1447,3142,1447,2035,762231
25,100663350,64,4136,1447,1447,1632,1447,2023,881083
26,100663351,64,24691,1447,1447,2106,1447,2170,753559
27,100663352,256,735136,1447,1447,2186,1447,2392,831677
28,100663353,0,105,1447,1447,3142,1447,2035,762231
29,100663356,0,136,1447,1447,3142,1447,2035,762231
30,100663359,0,213,1447,1447,3142,1447,2035,762231
31,100663361,64,23955,1447,1093,2143,1050,2022,500120
32,100663362,64,8410,1447,1447,3142,1447,2035,762231
33,100663367,64,20771,1447,1447,1632,1447,2023,881083
34,100663368,64,25072,1447,1447,1937,1447,2010,614955
35,100663369,128,392343,1447,1447,2106,1447,2170,753559
36,100663371,8192,16708680,1447,1447,1540,1447,2003,785573
37,100663372,0,20,1447,1447,3131,1447,2035,762231
38,100663373,64,17134,1447,1447,1815,1447,2019,638741
39,100663374,64,14150,1447,1093,2143,1050,2022,500120
40,100663377,0,2766,1447,1447,3142,1447,2035,762231
41,100663378,64,25240,1447,1093,2143,1050,2022,500120
42,100663379,0,21,1447,1447,3142,1447,2035,762231
43,100663382,0,2560,1447,1447,3131,1447,2035,762231
44,100663385,0,565,1447,1447,3142,1447,2035,762231
45,100663387,128,309784,1447,1447,2186,1447,2392,831677
46,100663389,0,1126,1447,1447,3142,1447,2035,762231
47,100663390,64,4168,1447,1447,1937,1447,2010,614955
48,100663392,0,76,1447,1447,3142,1447,2035,762231
49,100663393,64,6492,1447,1447,1632,1447,2023,881083
50,100663396,0,1068,1447,1447,3142,1447,2035,762231
51,100663398,64,16452,1447,1447,1937,1447,2010,614955
52,100663403,0,0,1447,1447,3131,1487,2035,762231
53,100663404,64,14323,1447,1447,1815,1447,2019,638741
54,100663406,64,26285,1447,1093,2143,1050,2022,500120
55,100663407,64,16472,1447,1447,1937,1447,2010,614955
56,100663408,64,9906,1447,1447,1632,1447,2023,881083
57,100663409,2752,4543957,1447,1447,1904,1447,2010,841154
58,100663410,512,1672488,1447,1447,2186,1447,2392,831677
59,100663411,64,4164,1447,1447,1937,1447,2010,614955
60,100663412,0,2555,1447,1447,3142,1447,2035,762231
61,100663413,20224,20657048,1447,1447,2518,1447,2069,1000000092
62,100663414,0,3225,1447,1447,3142,1447,2035,762231
63,100663415,0,30,1447,1447,3131,1447,2035,762231
64,100663416,0,743,1447,1447,1632,1447,2023,881083
65,100663417,64,3849,1447,1447,1632,1447,2023,881083
66,100663418,64,11225,1447,1447,1632,1447,2023,881083
67,100663419,0,852,1447,1447,1937,1447,2010,614955
68,100663420,0,0,1447,1447,3131,1487,2035,762231
69,100663421,64,7640,1447,1447,1815,1447,2019,638741
70,100663422,0,106,1447,1447,3142,1447,2035,762231
71,100663425,0,0,1447,1447,3131,1487,2035,762231
72,100663426,0,1999,1447,1447,1937,1447,2010,614955
73,100663427,128,242278,1447,1447,2106,1447,2170,753559
74,100663428,128,136456,1447,1447,2186,1447,2392,831677
75,100663429,0,116,1447,1093,2143,1050,2022,500120
76,100663431,0,146,1447,1447,3142,1447,2035,762231
77,100663432,0,195,1447,1447,1937,1447,2010,614955
78,100663433,64,18652,1447,1447,1632,1447,2023,881083
79,100663434,64,25253,1447,1093,2143,1050,2022,500120
80,100663435,0,612,1447,1447,1937,1447,2010,614955
81,100663436,0,114,1447,1447,3142,1447,2035,762231
82,100663437,64,30246,1447,1447,1632,1447,2023,881083
83,100663438,0,1916,1447,1447,1937,1447,2010,614955
84,100663439,64,16296,1447,1447,1906,1447,2010,841154
85,100663440,0,252,1447,1447,1937,1447,2010,614955
86,100663441,0,532,1447,1447,3142,1447,2035,762231
87,100663442,640,3953883,1447,1447,1904,1447,2010,841154
88,100663443,64,146931,1447,1447,2106,1447,2170,753559
89,100663444,64,14957,1447,1447,1815,1447,2019,638741
90,100663445,0,269,1447,1447,1937,1447,2010,614955
91,100663446,0,99,1447,1447,3131,1447,2035,762231
92,100663447,0,725,1447,1447,1937,1447,2010,614955
93,100663448,0,34,1447,1447,3142,1447,2035,762231
94,100663449,0,1450,1447,1447,2322,1447,2392,831677
95,100663451,0,25,1447,1447,3142,1447,2035,762231
96,100663453,320,1081688,1447,1447,2186,1447,2392,831677
97,100663454,64,22156,1447,1093,2143,1050,2022,500120
98,100663455,0,33,1447,1447,3131,1447,2035,762231
99,100663456,0,1079,1447,1447,1937,1447,2010,614955
100,100663457,0,352,1447,1447,3131,1447,2035,762231
101,100663458,64,14167,1447,1447,1632,1447,2023,881083
102,100663459,64,9775,1447,1447,1815,1447,2019,638741
103,100663460,0,94,1447,1447,3142,1447,2035,762231
104,100663461,64,5496,1447,1447,1937,1447,2010,614955
105,100663462,192,355570,1447,1447,3142,1447,2035,762231
106,100663463,64,109019,1447,1447,2106,1447,2170,753559
107,100663464,64,27688,1447,1093,2143,1050,2022,500120
108,100663465,64,19241,1447,1447,1815,1447,2019,638741
109,100663466,64,17645,1447,1447,1815,1447,2019,638741
110,100663467,64,70260,1447,1447,2106,1447,2170,753559
111,100663468,2816,5866950,1447,1447,1904,1447,2010,841154
112,100663469,8192,11483656,1447,1447,1540,1447,2003,785573
113,100663470,64,32807,1447,1447,1632,1447,2023,881083
114,100663471,960,2400362,1447,1447,2186,1447,2392,831677
115,100663472,64,24614,1447,1093,2143,1050,2022,500120
116,100663474,64,4110,1447,1447,1937,1447,2010,614955
117,100663475,0,1850,1447,1447,3142,1447,2035,762231
118,100663476,0,527,1447,1447,1937,1447,2010,614955
119,100663477,0,198,1447,1447,3142,1447,2035,762231
120,100663478,0,1520,1447,1447,1632,1447,2023,881083
121,100663479,0,377,1447,1447,1937,1447,2010,614955
122,100663480,0,1,1447,1447,3142,1447,2035,762231
123,100663481,64,29819,1447,1447,1632,1447,2023,881083
124,100663482,64,9141,1447,1447,2106,1447,2170,753559
125,100663483,64,15184,1447,1447,1815,1447,2019,638741
126,100663484,0,418,1447,1447,1937,1447,2010,614955
127,100663485,0,2560,1447,1447,3131,1447,2035,762231
128,100663486,0,1503,1447,1447,1632,1447,2023,881083
129,100663488,0,2679,1447,1447,1632,1447,2023,881083
130,100663489,0,2216,1447,1447,1937,1447,2010,614955
131,100663490,0,2560,1447,1447,3131,1447,2035,762231
132,100663491,64,14275,1447,1447,1632,1447,2023,881083
133,100663492,0,3106,1447,1447,3142,1447,2035,762231
134,100663493,0,2199,1447,1447,1937,1447,2010,614955
135,100663494,64,30693,1447,1093,2143,1050,2022,500120
136,100663495,0,73,1447,1447,3142,1447,2035,762231
137,100663496,0,2127,1447,1447,1937,1447,2010,614955
138,100663497,0,0,1447,1447,3131,1487,2035,762231
139,100663498,0,2900,1447,1447,1937,1447,2010,614955
140,100663499,64,46809,1447,1093,2143,1050,2022,500120
141,100663500,0,0,1447,1447,2518,1509,2069,1000000092
142,100663501,0,999,1447,1447,3142,1447,2035,762231
143,100663502,0,2517,1447,1447,2518,1447,2069,1000000092
144,100663503,0,172,1447,1447,3142,1447,2035,762231
145,100663504,576,5356445,1447,1447,1904,1447,2010,841154
146,100663505,0,247,1447,1447,2519,1447,2069,1000000092
147,100663506,64,6666,1447,1447,1937,1447,2010,614955
148,100663507,64,79768,1447,1447,2186,1447,2392,831677
149,100663508,0,2560,1447,1447,3131,1447,2035,762231
150,100663509,64,74260,1447,1447,2106,1447,2170,753559
151,100663510,64,189654,1447,1447,2518,1447,2069,1000000092
152,100663511,0,2533,1447,1447,3142,1447,2035,762231
153,100663512,0,714,1447,1447,3142,1447,2035,762231
154,100663514,64,36032,1447,1093,2143,1050,2022,500120
155,100663515,0,1796,1447,1447,3142,1447,2035,762231
156,100663516,64,15141,1447,1447,1815,1447,2019,638741
157,100663517,0,2066,1447,1447,1937,1447,2010,614955
158,100663518,0,45,1447,1447,2518,1447,2069,1000000092
159,100663519,64,14232,1447,1447,1632,1447,2023,881083
160,100663520,64,20970,1447,1093,2143,1050,2022,500120
161,100663521,0,2102,1447,1447,3142,1447,2035,762231
162,100663522,64,7841,1447,1447,1937,1447,2010,614955
163,100663523,0,39,1447,1447,2518,1447,2069,1000000092
164,100663524,0,1000,1447,1447,3142,1447,2035,762231
165,100663525,2688,5906515,1447,1447,1904,1447,2010,841154
166,100663526,64,4731,1447,1447,3142,1447,2035,762231
167,100663527,128,184930,1447,1447,2106,1447,2170,753559
168,100663528,64,20625,1447,1447,2518,1447,2069,1000000092
169,100663530,64,6134,1447,1447,2322,1447,2392,831677
